Date,Time,Pick-up Location,Pick-up Latitude,Pick-up Longitude,Drop-off Location,Drop-off Latitude,Drop-off Longitude
2022-12-01,18:29,Little India,1.306978,103.849222,Drop-off Location,1.3198088088565916,103.95727968157833
2021-07-08,19:01,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2287975149675943,103.86309894227499
2023-07-17,15:09,Orchard Road,1.304834,103.831833,Drop-off Location,1.2339789167736466,103.70161525066565
2022-12-26,21:24,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2554950739756054,103.94457940342468
2022-07-02,22:24,Clarke Quay,1.290557,103.846659,Drop-off Location,1.35088189478786,103.95409697009137
2022-12-08,18:12,Singapore Flyer,1.289332,103.86312,Drop-off Location,1.3795395611605727,103.68081133342514
2022-06-13,22:01,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2843879137237086,103.94424343721876
2023-07-17,21:50,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3202851796391912,103.66738974878028
2022-07-27,10:46,Singapore Zoo,1.404348,103.793023,Drop-off Location,1.2244011990034642,103.70634041909827
2021-12-11,18:23,Gardens by the Bay,1.281568,103.863613,Drop-off Location,1.2784054491897991,103.97981161232647
2021-06-03,16:27,Orchard Road,1.304834,103.831833,Drop-off Location,1.3223082884606285,103.98588086144987
2023-06-28,14:24,Sentosa Island,1.249404,103.830321,Drop-off Location,1.3235433410521948,103.97201493116586
2021-06-16,21:23,Clarke Quay,1.290557,103.846659,Drop-off Location,1.3159139994791798,103.93815960836237
2022-07-10,18:13,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2590237485158016,103.82470297964136
2022-12-10,23:59,Clarke Quay,1.290557,103.846659,Drop-off Location,1.2306052751776104,103.7933133220808
2024-12-23,21:52,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.280544525607735,103.6839431999619
2021-12-07,14:07,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3898583176006876,103.63468201150842
2023-12-19,21:07,Little India,1.306978,103.849222,Drop-off Location,1.266888705871797,103.9905963093739
2021-07-03,21:47,Marina Bay Sands,1.28392,103.86057,Drop-off Location,1.2528295898911965,103.93813668956598
2022-07-08,12:57,Universal Studios Singapore,1.254321,103.823819,Drop-off Location,1.3533332774104665,103.9386360067906
2024-06-28,14:36,Sentosa Island,1.249404,103.830321,Drop-off Location,1.248495018469743,103.81154480544951
